header,taxon,protein,sp,description,vog
658401.YP_003084147.1 type III RNAP sigma factor [Cyanophage PSS2],658401,YP_003084147.1,Cyanophage PSS2, type III RNAP sigma factor,VOG28223
753084.YP_004421531.1 RNA polymerase sigma factor SigF [Synechococcus phage S-CBS2],753084,YP_004421531.1,Synechococcus phage S-CBS2, RNA polymerase sigma factor SigF,VOG28223
151538.NP_076779.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL310],151538,NP_076779.1,Lactococcus phage bIL310, sigma-70 family RNA polymerase sigma factor,VOG22313
151539.NP_076821.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL312],151539,NP_076821.1,Lactococcus phage bIL312, sigma-70 family RNA polymerase sigma factor,VOG22313
"1118063.YP_006560743.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Staphylococcus phage SpaA1]",1118063,YP_006560743.1,Staphylococcus phage SpaA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG19786
"1118064.YP_009829866.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Bacillus phage BceA1]",1118064,YP_009829866.1,Bacillus phage BceA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG19786
1406790.YP_008771927.1 ECF subfamily RNA polymerase sigma-24 factor [Bacillus phage Slash],1406790,YP_008771927.1,Bacillus phage Slash, ECF subfamily RNA polymerase sigma-24 factor,VOG13572
1406792.YP_008770739.1 RNA polymerase sigma factor [Bacillus phage Staley],1406792,YP_008770739.1,Bacillus phage Staley, RNA polymerase sigma factor,VOG13572
1610832.YP_009203629.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203629.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG13572
1610833.YP_009196909.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196909.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG13572
1296655.YP_009215922.1 middle-gene-specific sigma factor [Bacillus phage JL],1296655,YP_009215922.1,Bacillus phage JL, middle-gene-specific sigma factor,VOG12686
1296656.YP_009216142.1 hypothetical protein [Bacillus phage Shanette],1296656,YP_009216142.1,Bacillus phage Shanette, hypothetical protein,VOG12686
1391188.YP_009099117.1 putative sigma factor [Bacillus phage CP-51],1391188,YP_009099117.1,Bacillus phage CP-51, putative sigma factor,VOG12686
1406783.YP_008770058.1 RNA polymerase sigma factor [Bacillus phage CampHawk],1406783,YP_008770058.1,Bacillus phage CampHawk, RNA polymerase sigma factor,VOG12686
2884427.YP_002300398.1 gp28 [Bacillus phage SPO1],2884427,YP_002300398.1,Bacillus phage SPO1, gp28,VOG12686
941058.YP_007003440.1 hypothetical protein [Bacillus phage SP-10],941058,YP_007003440.1,Bacillus phage SP-10, hypothetical protein,VOG12686
1173745.YP_009044107.1 putative sigma factor [Listeria phage LP-026],1173745,YP_009044107.1,Listeria phage LP-026, putative sigma factor,VOG10659
1173747.YP_008240497.1 putative sigma factor [Listeria phage LP-037],1173747,YP_008240497.1,Listeria phage LP-037, putative sigma factor,VOG10659
1173748.YP_008240465.1 putative sigma factor [Listeria phage LP-110],1173748,YP_008240465.1,Listeria phage LP-110, putative sigma factor,VOG10659
1225800.YP_006905911.1 sigma factor [Listeria phage P70],1225800,YP_006905911.1,Listeria phage P70, sigma factor,VOG10659
1458857.YP_009045078.1 putative sigma factor [Listeria phage LP-114],1458857,YP_009045078.1,Listeria phage LP-114, putative sigma factor,VOG10659
1002725.YP_004414965.1 RNA polymerase sigma factor [Shigella phage Shfl2],1002725,YP_004414965.1,Shigella phage Shfl2, RNA polymerase sigma factor,VOG02363
1026955.YP_004508483.1 late transcription sigma factor [Synechococcus phage S-CRM01],1026955,YP_004508483.1,Synechococcus phage S-CRM01, late transcription sigma factor,VOG02363
1048189.YP_009806402.1 sigma factor for late transcription [Cyanophage S-TIM4],1048189,YP_009806402.1,Cyanophage S-TIM4, sigma factor for late transcription,VOG02363
1049283.YP_006488835.1 sigma factor [Acinetobacter phage ZZ1],1049283,YP_006488835.1,Acinetobacter phage ZZ1, sigma factor,VOG02363
1052121.YP_007004110.1 sigma factor for T4 late transcription [Escherichia phage Bp7],1052121,YP_007004110.1,Escherichia phage Bp7, sigma factor for T4 late transcription,VOG02363
1054480.YP_007004807.1 RNA polymerase sigma factor [Escherichia phage wV7],1054480,YP_007004807.1,Escherichia phage wV7, RNA polymerase sigma factor,VOG02363
1054834.YP_007004448.1 RNA polymerase sigma factor [Escherichia phage ime09],1054834,YP_007004448.1,Escherichia phage ime09, RNA polymerase sigma factor,VOG02363
10665.NP_049679.1 RNA polymerase sigma factor [Escherichia virus T4],10665,NP_049679.1,Escherichia virus T4, RNA polymerase sigma factor,VOG02363
10666.YP_010067218.1 RNA polymerase sigma factor [Enterobacteria phage T6],10666,YP_010067218.1,Enterobacteria phage T6, RNA polymerase sigma factor,VOG02363
10692.YP_010066947.1 RNA polymerase sigma factor [Enterobacteria phage RB18],10692,YP_010066947.1,Enterobacteria phage RB18, RNA polymerase sigma factor,VOG02363
1079998.YP_007001843.1 gp55 late sigma factor [Synechococcus phage ACG-2014c],1079998,YP_007001843.1,Synechococcus phage ACG-2014c, gp55 late sigma factor,VOG02363
1079999.YP_007001632.1 late transcription gp55 sigma factor [Synechococcus phage metaG-MbCM1],1079999,YP_007001632.1,Synechococcus phage metaG-MbCM1, late transcription gp55 sigma factor,VOG02363
1080800.YP_004895268.1 T4-like sigma transcription factor [Salmonella phage SFP10],1080800,YP_004895268.1,Salmonella phage SFP10, T4-like sigma transcription factor,VOG02363
1087482.YP_007501096.1 RNA polymerase subunit sigma [Salmonella phage vB_SenM-S16],1087482,YP_007501096.1,Salmonella phage vB_SenM-S16, RNA polymerase subunit sigma,VOG02363
1091052.YP_007237413.1 putative sigma factor late transcription gp55 [Dickeya virus Limestone],1091052,YP_007237413.1,Dickeya virus Limestone, putative sigma factor late transcription gp55,VOG02363
1108865.YP_007008061.1 sigma factor for late transcription [Salmonella phage Sh19],1108865,YP_007008061.1,Salmonella phage Sh19, sigma factor for late transcription,VOG02363
1129147.YP_007348689.1 sigma factor for late transcription [Klebsiella phage KP27],1129147,YP_007348689.1,Klebsiella phage KP27, sigma factor for late transcription,VOG02363
1141136.YP_006987343.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP32],1141136,YP_006987343.1,Cronobacter phage vB_CsaM_GAP32, sigma factor for late transcription,VOG02363
1141138.YP_006986326.1 sigma factor for late transcription [Cronobacter phage vB_CsaM_GAP161],1141138,YP_006986326.1,Cronobacter phage vB_CsaM_GAP161, sigma factor for late transcription,VOG02363
1141141.YP_006986618.1 RNA polymerase sigma factor [Escherichia phage vB_EcoM_ACG-C40],1141141,YP_006986618.1,Escherichia phage vB_EcoM_ACG-C40, RNA polymerase sigma factor,VOG02363
1147094.YP_007007237.1 RNA polymerase sigma factor [Klebsiella phage vB_KleM_RaK2],1147094,YP_007007237.1,Klebsiella phage vB_KleM_RaK2, RNA polymerase sigma factor,VOG02363
115987.NP_932402.1 RNA polymerase sigma factor [Aeromonas virus 44RR2],115987,NP_932402.1,Aeromonas virus 44RR2, RNA polymerase sigma factor,VOG02363
115991.YP_239026.1 RNA polymerase sigma factor [Escherichia virus RB43],115991,YP_239026.1,Escherichia virus RB43, RNA polymerase sigma factor,VOG02363
115992.YP_008125262.1 sigma factor for late transcription [Vibrio phage nt-1 (nt-1)],115992,YP_008125262.1,Vibrio phage nt-1 (nt-1), sigma factor for late transcription,VOG02363
1198013.YP_007010738.1 sigma factor [Aeromonas phage Aes508],1198013,YP_007010738.1,Aeromonas phage Aes508, sigma factor,VOG02363
1198014.YP_007677765.1 RNA polymerase sigma factor [Aeromonas phage Aes012],1198014,YP_007677765.1,Aeromonas phage Aes012, RNA polymerase sigma factor,VOG02363
1204516.YP_007010288.1 RNA polymerase sigma factor [Aeromonas phage CC2],1204516,YP_007010288.1,Aeromonas phage CC2, RNA polymerase sigma factor,VOG02363
1204522.YP_009102539.1 RNA polymerase sigma factor [Escherichia phage ECML-134],1204522,YP_009102539.1,Escherichia phage ECML-134, RNA polymerase sigma factor,VOG02363
1204523.YP_009101582.1 hypothetical protein [Escherichia phage ECML-4],1204523,YP_009101582.1,Escherichia phage ECML-4, hypothetical protein,VOG02363
1204528.YP_007236163.1 hypothetical protein [Salmonella phage SKML-39],1204528,YP_007236163.1,Salmonella phage SKML-39, hypothetical protein,VOG02363
1204530.YP_009617685.1 hypothetical protein [Salmonella phage STML-13-1],1204530,YP_009617685.1,Salmonella phage STML-13-1, hypothetical protein,VOG02363
1204531.YP_009148048.1 RNA polymerase subunit sigma [Salmonella phage STML-198],1204531,YP_009148048.1,Salmonella phage STML-198, RNA polymerase subunit sigma,VOG02363
