# seqname1 seqname2 %id nid denomid %match nmatch denommatch
WP_000197755.1 WP_009967190.1  90.55    230    254  99.61    254    255
WP_000197755.1 WP_003416101.1  68.50    174    254 100.00    254    254
WP_000197755.1 YP_007003377.1  31.02     58    187  67.68    178    263
WP_000197755.1 YP_009274876.1  44.30    105    237  89.58    232    259
WP_000197755.1 YP_009274875.1  31.08     78    251  87.73    236    269
WP_000197755.1 YP_009832138.1  26.34     64    243  91.15    237    260
WP_009967190.1 WP_003416101.1  68.90    175    254  99.61    254    255
WP_009967190.1 YP_007003377.1  32.62     61    187  67.42    178    264
WP_009967190.1 YP_009274876.1  45.57    108    237  89.23    232    260
WP_009967190.1 YP_009274875.1  31.47     79    251  87.41    236    270
WP_009967190.1 YP_009832138.1  27.16     66    243  90.80    237    261
WP_003416101.1 YP_007003377.1  30.48     57    187  67.68    178    263
WP_003416101.1 YP_009274876.1  42.62    101    237  89.58    232    259
WP_003416101.1 YP_009274875.1  32.67     82    251  87.73    236    269
WP_003416101.1 YP_009832138.1  27.16     66    243  91.15    237    260
YP_007003377.1 YP_009274876.1  24.06     45    187  68.25    172    252
YP_007003377.1 YP_009274875.1  22.46     42    187  64.04    171    267
YP_007003377.1 YP_009832138.1  14.97     28    187  67.97    174    256
YP_009274876.1 YP_009274875.1  37.13     88    237  88.42    229    259
YP_009274876.1 YP_009832138.1  32.07     76    237  91.24    229    251
YP_009274875.1 YP_009832138.1  24.69     60    243  89.27    233    261
