# seqname1 seqname2 %id nid denomid %match nmatch denommatch
WP_003230458.1 WP_009967190.1  48.42    107    221  98.65    220    223
WP_003230458.1 YP_007003377.1  23.83     51    214  86.70    202    233
WP_003230458.1 YP_009274876.1  61.64    135    219  92.98    212    228
WP_003230458.1 YP_009274875.1  31.67     70    221  89.50    213    238
WP_003230458.1 YP_009832138.1  27.15     60    221  90.95    211    232
WP_009967190.1 YP_007003377.1  23.36     50    214  87.93    204    232
WP_009967190.1 YP_009274876.1  45.21     99    219  94.27    214    227
WP_009967190.1 YP_009274875.1  28.38     63    222  90.72    215    237
WP_009967190.1 YP_009832138.1  25.68     57    222  92.21    213    231
YP_007003377.1 YP_009274876.1  21.96     47    214  86.64    201    232
YP_007003377.1 YP_009274875.1  18.22     39    214  81.22    199    245
YP_007003377.1 YP_009832138.1  14.95     32    214  83.97    199    237
YP_009274876.1 YP_009274875.1  34.25     75    219  90.25    213    236
YP_009274876.1 YP_009832138.1  28.31     62    219  90.09    209    232
YP_009274875.1 YP_009832138.1  23.87     53    222  89.92    214    238
