REGION,REGION_LENGTH,COMPLETENESS(score),SPECIFIC_KEYWORD,REGION_POSITION,TRNA_NUM,TOTAL_PROTEIN_NUM,PHAGE_HIT_PROTEIN_NUM,HYPOTHETICAL_PROTEIN_NUM,PHAGE+HYPO_PROTEIN_PERCENTAGE,BACTERIAL_PROTEIN_NUM,ATT_SITE_SHOWUP,PHAGE_SPECIES_NUM,MOST_COMMON_PHAGE_NAME(hit_genes_count),FIRST_MOST_COMMON_PHAGE_NUM,FIRST_MOST_COMMON_PHAGE_PERCENTAGE,GC_PERCENTAGE,acc,MOST_COMMON_PHAGE_NAME,MOST_COMMON_PHAGE_NUM,MOST_COMMON_PHAGE_PERCENTAGE
1,8Kb,incomplete(20),recombinase,265419-273448,0,10,5,4,90%,1,yes,5,"PHAGE_Escher_D108_NC_013594(1),PHAGE_Vibrio_qdvp001_NC_029057(1),PHAGE_Entero_P1_NC_005856(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Mycoba_Adzzy_NC_022058(1),PHAGE_Microc_Ma_LMM01_NC_008562(1),PHAGE_Mesorh_phagevB_MloP_Lo5R7ANS_NC_025431(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Mycoba_BigNuz_NC_023692(1),PHAGE_Entero_Mu_NC_000929(1),PHAGE_Entero_SfMu_NC_027382(1),PHAGE_Clostr_vB_CpeS_CP51_NC_021325(1)",1,10%,54.32%,AE014291.4,NA,NA,NA
2,11.2Kb,intact(100),transposase,519796-531039,0,13,13,0,100%,0,no,5,"PHAGE_Synech_S_CAM7_NC_031927(2),PHAGE_Paenib_Tripp_NC_028930(2),PHAGE_Synech_ACG_2014f_NC_026927(2),PHAGE_Bacill_SP_15_NC_031245(1),PHAGE_Stygio_virus_NC_025375(1),PHAGE_Sulfol_STSV1_NC_006268(1),PHAGE_Synech_S_SKS1_NC_020851(1),PHAGE_Sulfol_STSV2_NC_020077(1)",9,15.38%,50.76%,AE014291.4,NA,NA,NA
3,9.7Kb,intact(110),"terminase,portal,head,capsid,tail",578578-588373,0,15,12,1,86.6%,2,no,10,"PHAGE_Paraco_vB_PmaS_IMEP1_NC_026608(3),PHAGE_Rhodob_RcRhea_NC_028954(3),PHAGE_Roseob_1_NC_015466(3),PHAGE_Paenib_Fern_NC_028851(2),PHAGE_Idioma_1N2_2_NC_025439(2),PHAGE_Salmon_ST64B_NC_004313(2),PHAGE_Paenib_phiIBB_Pl23_NC_021865(2),PHAGE_Rhodob_RcapNL_NC_020489(2),PHAGE_Bacter_Diva_NC_028788(2),PHAGE_Paenib_HB10c2_NC_028758(2),PHAGE_Bacter_Rani_NC_029084(2),PHAGE_Nitrin_1M3_16_NC_024217(1),PHAGE_Vibrio_vB_VpaS_MAR10_NC_019713(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Strept_mu1/6_NC_007967(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Marino_P12026_NC_018269(1),PHAGE_Strept_Jay2Jay_NC_029098(1),PHAGE_Caulob_magneto_NC_019407(1),PHAGE_Colwel_9A_NC_018088(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Xantho_Xp15_NC_007024(1),PHAGE_Phage_phiJL001_NC_006938(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Gordon_Vivi2_NC_031239(1),PHAGE_Brucel_BiPBO1_NC_031264(1),PHAGE_Pseudo_Pq0_NC_029100(1),PHAGE_Vibrio_pYD38_B_NC_021561(1),PHAGE_Entero_SfI_NC_027339(1),PHAGE_Rhizob_16_3_NC_011103(1),PHAGE_Geobac_GBK2_NC_023612(1),PHAGE_Salmon_118970_sal3_NC_031940(1),PHAGE_Cellul_phi12:1_NC_021791(1),PHAGE_Xantho_CP1_NC_019933(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Rhizob_vB_RglS_P106B_NC_023566(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Burkho_phi1026b_NC_005284(1),PHAGE_Caulob_CcrColossus_NC_019406(1)",3,20%,60.96%,AE014291.4,NA,NA,NA
4,15.1Kb,incomplete(20),transposase,937682-952798,0,13,7,4,84.6%,2,yes,5,"PHAGE_Brucel_BiPBO1_NC_031264(3),PHAGE_Burkho_phi52237_NC_007145(1),PHAGE_Mycoba_Troll4_NC_011285(1),PHAGE_Mycoba_PBI1_NC_008198(1),PHAGE_Pectob_ZF40_NC_019522(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Mycoba_PLot_NC_008200(1),PHAGE_Mycoba_Gumball_NC_011290(1),PHAGE_Burkho_phiE202_NC_009234(1)",3,23.07%,51.37%,AE014291.4,NA,NA,NA
1,60.2Kb,intact(150),"integrase,envelope,recombinase,terminase,portal,head,tail,plate",1408248-1468449,0,87,63,24,100%,0,yes,37,NA,NA,NA,40.96%,NC_007146.2,PHAGE_Erwini_phiEt88,13,14.9%
2,34.7Kb,incomplete(60),"integrase,terminase,head",1576217-1610982,0,33,24,9,100%,0,yes,11,NA,NA,NA,37.89%,NC_007146.2,PHAGE_Aggreg_S1249,14,42.4%
3,20.8Kb,intact(150),"tail,plate,lysin,head,terminase,capsid",1707312-1728142,0,31,23,8,100%,0,no,6,NA,NA,NA,40.18%,NC_007146.2,PHAGE_Mannhe_phiMHaA1,18,58%
1,8Kb,incomplete(40),"protease,transposase",1924706-1932712,0,7,6,0,85.7%,1,no,5,NA,NA,NA,47.16%,AL954747.1,PROPHAGE_Brucel_1330,2,28.5%
1,42.2Kb,intact(130),"integrase,portal,head,tail",1763126-1805399,1,58,39,0,67.2%,19,yes,25,"PHAGE_Pseudo_PMG1_NC_016765(10),PHAGE_Pseudo_D3_NC_002484(9),PHAGE_Xantho_CP1_NC_019933(5),PHAGE_Burkho_phi1026b_NC_005284(5),PHAGE_Xantho_Xop411_NC_009543(5),PHAGE_Entero_mEp235_NC_019708(4),PHAGE_Xantho_phiL7_NC_012742(4),PHAGE_Burkho_KS9_NC_013055(4),PHAGE_Xantho_OP1_NC_007709(4),PHAGE_Pseudo_phi2_NC_030931(4),PHAGE_Burkho_phi6442_NC_009235(3),PHAGE_Burkho_phiE125_NC_003309(3),PHAGE_Xantho_Xp10_NC_004902(3),PHAGE_Pectob_ZF40_NC_019522(3),PHAGE_Gordon_Nymphadora_NC_031061(2),PHAGE_Pseudo_phiPSA1_NC_024365(2),PHAGE_Stenot_S1_NC_011589(2),PHAGE_Salmon_118970_sal3_NC_031940(2),PHAGE_Rhodov_vB_RhkS_P1_NC_031059(2),PHAGE_Burkho_phiE202_NC_009234(2),PHAGE_Entero_HK022_NC_002166(2),PHAGE_Burkho_phi52237_NC_007145(2),PHAGE_Entero_HK140_NC_019710(2),PHAGE_Pseudo_F116_NC_006552(2),PHAGE_Pseudo_PAJU2_NC_011373(2),PHAGE_Burkho_Bcep176_NC_007497(2),PHAGE_Entero_mEpX2_NC_019705(2),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(1),PHAGE_Burkho_Bcep22_NC_005262(1),PHAGE_Mycoba_Drago_NC_023721(1),PHAGE_Cellul_phi10:1_NC_021802(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Vibrio_12A4_NC_021068(1),PHAGE_Burkho_BcepGomr_NC_009447(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Pseudo_PEV2_NC_031063(1),PHAGE_Pseudo_PA1phi_NC_023700(1),PHAGE_Burkho_BcepIL02_NC_012743(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Pseudo_JBD44_NC_030929(1),PHAGE_Sinorh_phiN3_NC_028945(1),PHAGE_Lactob_J_1_NC_022756(1),PHAGE_Pseudo_MP48_NC_024782(1),PHAGE_Rhizob_vB_RleM_PPF1_NC_025427(1),PHAGE_Xantho_CP2_NC_020205(1),PHAGE_Burkho_DC1_NC_018452(1),PHAGE_Burkho_BcepMigl_NC_019917(1),PHAGE_Pectob_PM1_NC_023865(1),PHAGE_Lactob_PL_1_NC_022757(1),PHAGE_Salmon_SJ46_NC_031129(1),PHAGE_Burkho_AH2_NC_018283(1),PHAGE_Myxoco_Mx8_NC_003085(1),PHAGE_Entero_mEp390_NC_019721(1),PHAGE_Pseudo_DMS3_NC_008717(1),PHAGE_Pseudo_MP29_NC_011613(1),PHAGE_Acinet_Bphi_B1251_NC_019541(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Pseudo_KPP21_NC_029017(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Stx2_c_1717_NC_011357(1),PHAGE_Pseudo_JBD5_NC_020202(1),PHAGE_Shewan_1/40_NC_025470(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Sinorh_phiM12_NC_027204(1),PHAGE_Shewan_1/4_NC_025436(1),PHAGE_Pseudo_H103_NC_028819(1),PHAGE_Burkho_KS14_NC_015273(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Gordon_Kita_NC_031233(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Pseudo_LUZ7_NC_013691(1),PHAGE_Mycoba_Phatniss_NC_028844(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Lactob_Lrm1_NC_011104(1),PHAGE_Aggreg_S1249_NC_013597(1),PHAGE_Bacter_B124_14_NC_016770(1),PHAGE_Pseudo_PS_1_NC_029066(1)",5,17.24%,63.89%,BX470250.1,NA,NA,NA
2,48.4Kb,intact(150),"integrase,recombinase,portal,head,capsid,virion,tail,lysin,protease",2336407-2384850,0,71,44,1,63.3%,26,yes,30,"PHAGE_Pseudo_PS_1_NC_029066(11),PHAGE_Pseudo_YMC11/02/R656_NC_028657(7),PHAGE_Cronob_phiES15_NC_018454(4),PHAGE_Pseudo_PMG1_NC_016765(4),PHAGE_Burkho_BcepGomr_NC_009447(3),PHAGE_Xantho_OP1_NC_007709(3),PHAGE_Achrom_83_24_NC_028834(3),PHAGE_Pseudo_D3_NC_002484(3),PHAGE_Escher_HK639_NC_016158(3),PHAGE_Achrom_JWX_NC_028768(3),PHAGE_Achrom_phiAxp_1_NC_029033(3),PHAGE_Burkho_Bcep176_NC_007497(3),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(2),PHAGE_Xantho_phiL7_NC_012742(2),PHAGE_Pseudo_phiPSA1_NC_024365(2),PHAGE_Salmon_SETP13_NC_022752(2),PHAGE_Escher_Rtp_NC_007603(2),PHAGE_Salmon_f18SE_NC_028698(2),PHAGE_Cyanop_KBS_S_2A_NC_020854(2),PHAGE_Pseudo_MP1412_NC_018282(2),PHAGE_Burkho_phiE125_NC_003309(2),PHAGE_Salmon_64795_sal3_NC_031918(2),PHAGE_Burkho_phi1026b_NC_005284(2),PHAGE_Serrat_Eta_NC_021563(2),PHAGE_Aeromo_vB_AsaM_56_NC_019527(2),PHAGE_Pseudo_YuA_NC_010116(2),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(2),PHAGE_Bacill_G_NC_023719(2),PHAGE_Pseudo_F116_NC_006552(2),PHAGE_Entero_c_1_NC_019706(2),PHAGE_Salmon_SEN22_NC_028696(2),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(1),PHAGE_Escher_K1_dep(4)_NC_027993(1),PHAGE_Entero_vB_KleM_RaK2_NC_019526(1),PHAGE_Escher_PA2_NC_028449(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Pseudo_H105/1_NC_015293(1),PHAGE_Vibrio_VBP47_NC_020848(1),PHAGE_Sodali_SO1_NC_013600(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Stenot_Smp131_NC_023588(1),PHAGE_Salmon_SE2_NC_016763(1),PHAGE_Rhodob_RcRhea_NC_028954(1),PHAGE_Salmon_L13_NC_021317(1),PHAGE_Lactoc_98201_NC_031064(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Mannhe_vB_MhS_535AP2_NC_028853(1),PHAGE_Xantho_Xp15_NC_007024(1),PHAGE_Pseudo_DL54_NC_028919(1),PHAGE_Pseudo_LUZ24_NC_010325(1),PHAGE_Pseudo_LPB1_NC_027298(1),PHAGE_Pseudo_JBD44_NC_030929(1),PHAGE_Pseudo_PaMx11_NC_028770(1),PHAGE_Phage_Gifsy_2_NC_010393(1),PHAGE_Verruc_P8625_NC_029047(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Erwini_PEp14_NC_016767(1),PHAGE_Clostr_phiCT453A_NC_028991(1),PHAGE_Burkho_phi6442_NC_009235(1),PHAGE_Burkho_KS5_NC_015265(1),PHAGE_Stenot_S1_NC_011589(1),PHAGE_Bacill_BM5_NC_029069(1),PHAGE_Caulob_Cr30_NC_025422(1),PHAGE_Xantho_CP1_NC_019933(1),PHAGE_Entero_vB_EcoS_ACG_M12_NC_019404(1),PHAGE_Escher_4_NC_027364(1),PHAGE_Halovi_HCTV_5_NC_021327(1),PHAGE_Burkho_DC1_NC_018452(1),PHAGE_Cronob_ENT47670_NC_019927(1),PHAGE_Escher_K1_dep(1)_NC_027994(1),PHAGE_Lactoc_28201_NC_031013(1),PHAGE_Caulob_CcrColossus_NC_019406(1),PHAGE_Salmon_SPN1S_NC_016761(1),PHAGE_Edward_eiAU_183_NC_023555(1),PHAGE_Salmon_Jersey_NC_021777(1),PHAGE_Escher_121Q_NC_025447(1),PHAGE_Entero_ES18_NC_006949(1),PHAGE_Halovi_HVTV_1_NC_020158(1),PHAGE_Pseudo_AF_NC_019923(1),PHAGE_Pseudo_TL_NC_023583(1),PHAGE_Salmon_LSPA1_NC_026017(1),PHAGE_Rhodob_RcapMu_NC_016165(1),PHAGE_Vibrio_vB_VpaS_MAR10_NC_019713(1),PHAGE_Escher_YD_2008.s_NC_027383(1),PHAGE_Marino_P12026_NC_018269(1),PHAGE_Entero_BP_4795_NC_004813(1),PHAGE_Entero_VT2phi_272_NC_028656(1),PHAGE_Escher_HK578_NC_019724(1),PHAGE_Vibrio_VpKK5_NC_026610(1),PHAGE_Pseudo_vB_PaeS_SCH_Ab26_NC_024381(1),PHAGE_Pseudo_NP1_NC_031058(1),PHAGE_Entero_HK140_NC_019710(1),PHAGE_Bacill_SPbeta_NC_001884(1),PHAGE_Shigel_pSf_2_NC_026010(1),PHAGE_Entero_phiEap_2_NC_028695(1),PHAGE_Salmon_SEN34_NC_028699(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Pseudo_PaMx74_NC_028809(1),PHAGE_Mannhe_vB_MhM_587AP1_NC_028898(1),PHAGE_Salmon_g341c_NC_013059(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Xantho_Xop411_NC_009543(1),PHAGE_Pseudo_F10_NC_007805(1),PHAGE_Lactoc_bIL312_NC_002671(1),PHAGE_Salmon_IME207_NC_031924(1),PHAGE_Pseudo_vB_PaeS_PAO1_Ab18_NC_026594(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Entero_ST104_NC_005841(1),PHAGE_Pseudo_pYD6_A_NC_020849(1),PHAGE_Achrom_JWF_NC_029075(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Salmon_epsilon15_NC_004775(1),PHAGE_Vibrio_VBP32_NC_020868(1)",11,15.49%,62.78%,BX470250.1,NA,NA,NA
