header,taxon,protein,sp,description,vog,.species.name,phage.nonphage,source,source.version,acc,n_clstr,nt,perc_id_to_rep,is_rep,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,viral.family,protClstr,aa,perc.id_protClstr,protClstr_rep
658401.YP_003084147.1 type III RNAP sigma factor [Cyanophage PSS2],658401,YP_003084147.1,Cyanophage PSS2, type III RNAP sigma factor,VOG28223,Cyanophage PSS2,phage,NCBI Refseq,209,NC_013021,2277,107530,100,TRUE,Cyanophage PSS2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_013021,NA,NA,NA,74547,Prochlorococcus marinus str. MIT 9313,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus,NA,"NCBI Virus, RefSeq",NA,NA,1,Siphoviridae,252,213,100,TRUE
753084.YP_004421531.1 RNA polymerase sigma factor SigF [Synechococcus phage S-CBS2],753084,YP_004421531.1,Synechococcus phage S-CBS2, RNA polymerase sigma factor SigF,VOG28223,Synechococcus phage S-CBS2,phage,NCBI Refseq,209,NC_015463,2608,72332,100,TRUE,Synechococcus phage S-CBS2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_015463,NA,NA,NA,232353,Synechococcus sp. CB0204,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,Siphoviridae,255,206,100,TRUE
151538.NP_076779.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL310],151538,NP_076779.1,Lactococcus phage bIL310, sigma-70 family RNA polymerase sigma factor,VOG22313,Lactococcus phage bIL310,phage,NCBI Refseq,209,NC_002669,1471,14957,100,TRUE,Lactococcus phage bIL310,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002669,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,Siphoviridae,126,107,100,TRUE
151539.NP_076821.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL312],151539,NP_076821.1,Lactococcus phage bIL312, sigma-70 family RNA polymerase sigma factor,VOG22313,Lactococcus phage bIL312,phage,NCBI Refseq,209,NC_002671,1473,15179,100,TRUE,Lactococcus phage bIL312,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002671,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,Siphoviridae,124,106,100,TRUE
"1118063.YP_006560743.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Staphylococcus phage SpaA1]",1118063,YP_006560743.1,Staphylococcus phage SpaA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG19786,Staphylococcus phage SpaA1,phage,NCBI Refseq,209,NC_018277,177,42784,100,TRUE,Staphylococcus phage SpaA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Beceayunavirus; unclassified Beceayunavirus,NC_018277,NA,NA,NA,45972,Staphylococcus pasteuri,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,Siphoviridae,83,112,100,TRUE
"1118064.YP_009829866.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Bacillus phage BceA1]",1118064,YP_009829866.1,Bacillus phage BceA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG19786,Bacillus phage BceA1,phage,NCBI Refseq,209,NC_048628,161,42932,100,TRUE,Bacillus phage BceA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Beceayunavirus; Bacillus virus BceA1,NC_048628,NA,NA,NA,86661,Bacillus cereus group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,22815791,Literature,NA,NA,1,Siphoviridae,83,112,100,FALSE
1406790.YP_008771927.1 ECF subfamily RNA polymerase sigma-24 factor [Bacillus phage Slash],1406790,YP_008771927.1,Bacillus phage Slash, ECF subfamily RNA polymerase sigma-24 factor,VOG13572,Bacillus phage Slash,phage,NCBI Refseq,209,NC_022774,2776,80382,100,TRUE,Bacillus phage Slash,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Slash,NC_022774,NA,NA,NA,1404,Priestia megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Priestia,24336363,Literature,NA,NA,1,Siphoviridae,42,236,99.58,FALSE
1406792.YP_008770739.1 RNA polymerase sigma factor [Bacillus phage Staley],1406792,YP_008770739.1,Bacillus phage Staley, RNA polymerase sigma factor,VOG13572,Bacillus phage Staley,phage,NCBI Refseq,209,NC_022767,2787,81656,100,TRUE,Bacillus phage Staley,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Staley,NC_022767,NA,NA,NA,1404,Priestia megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Priestia,24309730,Literature,NA,NA,2,Siphoviridae,42,236,100,FALSE
1610832.YP_009203629.1 RNA polymerase sigma factor [Bacillus phage Stahl],1610832,YP_009203629.1,Bacillus phage Stahl, RNA polymerase sigma factor,VOG13572,Bacillus phage Stahl,phage,NCBI Refseq,209,NC_028856,2729,80148,100,TRUE,Bacillus phage Stahl,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stahl,NC_028856,NA,NA,NA,1404,Priestia megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Priestia,26251491,Literature,NA,NA,1,Siphoviridae,42,239,100,TRUE
1610833.YP_009196909.1 RNA polymerase sigma factor [Bacillus phage Stills],1610833,YP_009196909.1,Bacillus phage Stills, RNA polymerase sigma factor,VOG13572,Bacillus phage Stills,phage,NCBI Refseq,209,NC_028777,2772,80798,100,TRUE,Bacillus phage Stills,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Slashvirus; Bacillus virus Stills,NC_028777,NA,NA,NA,1404,Priestia megaterium,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Priestia,26251490,Literature,NA,NA,1,Siphoviridae,272,236,100,TRUE
