assembly_accession,taxid,organism_name,superkingdom,phylum,class,order,family,genus,species group,species,subphylum,suborder,serogroup,strain,subspecies
GCF_000007825.1,226900,Bacillus cereus ATCC 14579,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus group,Bacillus cereus,NA,NA,NA,NA,NA
GCF_000953275.1,1496,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,NA,NA,NA,NA,NA,NA,NA
GCF_000196035.1,169963,Listeria monocytogenes EGD-e,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,NA,Listeria monocytogenes,NA,NA,NA,NA,NA
GCF_001314975.1,818,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,NA,NA,NA,NA,NA,NA
GCF_000010505.1,431947,Porphyromonas gingivalis ATCC 33277,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,NA,Porphyromonas gingivalis,NA,NA,NA,NA,NA
GCF_001457455.1,1717,Corynebacterium diphtheriae,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA,NA,NA,NA,NA,NA,NA
GCF_000010065.1,269084,Synechococcus elongatus PCC 6301,Bacteria,Cyanobacteria,NA,Synechococcales,Synechococcaceae,Synechococcus,NA,Synechococcus elongatus,NA,NA,NA,NA,NA
GCF_000011485.1,74547,Prochlorococcus marinus str. MIT 9313,Bacteria,Cyanobacteria,NA,Synechococcales,Prochlorococcaceae,Prochlorococcus,NA,Prochlorococcus marinus,NA,NA,NA,NA,NA
GCF_000012685.1,246197,Myxococcus xanthus DK 1622,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,NA,Myxococcus xanthus,delta/epsilon subdivisions,Cystobacterineae,NA,NA,NA
GCF_000525675.1,765869,Bdellovibrio bacteriovorus W,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,NA,Bdellovibrio bacteriovorus,NA,NA,NA,NA,NA
GCF_000009125.1,267608,Ralstonia solanacearum GMI1000,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,NA,Ralstonia solanacearum,NA,NA,NA,NA,NA
GCF_000006745.1,243277,Vibrio cholerae O1 biovar El Tor str. N16961,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,Vibrio cholerae,NA,NA,Vibrio cholerae O1,NA,NA
GCF_000006765.1,208964,Pseudomonas aeruginosa PAO1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,Pseudomonas aeruginosa,NA,NA,NA,NA,NA
GCF_000005845.2,511145,Escherichia coli str. K-12 substr. MG1655,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NA,Escherichia coli,NA,NA,NA,Escherichia coli K-12,NA
GCF_000971565.1,358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens complex,NA,NA,NA,NA,NA,NA
GCF_000009085.1,192222,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA,Campylobacter jejuni,delta/epsilon subdivisions,NA,NA,NA,Campylobacter jejuni subsp. jejuni
GCF_000008525.1,85962,Helicobacter pylori 26695,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA,Helicobacter pylori,delta/epsilon subdivisions,NA,NA,NA,NA
GCF_000008565.1,243230,Deinococcus radiodurans R1,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,NA,Deinococcus radiodurans,NA,NA,NA,NA,NA
GCF_000008545.1,243274,Thermotoga maritima MSB8,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,NA,Thermotoga maritima,NA,NA,NA,NA,NA
GCF_000604125.1,1095955,Treponema pallidum subsp. pallidum str. Sea 81-4,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,NA,Treponema pallidum,NA,NA,NA,NA,Treponema pallidum subsp. pallidum
GCF_000008685.2,224326,Borrelia burgdorferi B31,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,NA,Borreliella burgdorferi,NA,NA,NA,NA,NA
GCF_000195955.2,83332,Mycobacterium tuberculosis H37Rv,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis complex,Mycobacterium tuberculosis,NA,NA,NA,NA,NA
GCF_000203835.1,100226,Streptomyces coelicolor A3(2),Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group,Streptomyces coelicolor,NA,NA,NA,NA,NA
GCF_002055965.1,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,NA,NA,NA,NA,NA,NA
